,,,,,,,Population,Population,Population,Population in 2015 (readjusted),Population change number for 5 years,Population change rate for 5 years,Sex ratio,Area (reference),Population density,Number of households,Number of households,Number of households,Number of households in 2015 (readjusted),Number of households change number for 5 years,Number of households change rate for 5 years,Household members,Household members,Household members
,,,,,,,Sex,Sex,Sex,,,,,,,Type of household,Type of household,Type of household,,,,Type of household,Type of household,Type of household
,,,,,,,1,1,1,,,,,,,1,1,1,,,,1,1,1
,,,,,,,0_Total,1_Male,2_Female,,,,,,,0_Total,1_Private households,2_Institutional households,,,,0_Total,1_Private households,2_Institutional households
,,,,,,,(people),(people),(people),(people),(people),(%),,(km2),(per km2),(households),(households),(households),(households),(households),(%),(people),(people),(people)
Identification Area codes,Prefectures(2000),Area codes (2000),Areas in 2000,Prefectures (2020),Area codes (2020),Areas, ,,,,,,,,,,,,,,,,,
9,12_Chiba-ken,12444,2000,12_Chiba-ken,12238,1189_(Municipalities as of 2000) Ohara-machi,"16,495","8,039","8,456","18,017","-1,522",-8.44758,95.06859,66.61,247.6,"6,871","6,856",15,"7,138",-267,-3.74054,"16,495","16,122",373
9,12_Chiba-ken,12445,2000,12_Chiba-ken,12238,1190_(Municipalities as of 2000) Misaki-machi,"12,925","6,312","6,613","13,805",-880,-6.37450,95.44836,46.66,277.0,"5,307","5,293",14,"5,349",-42,-0.78519,"12,925","12,404",521
2,12_Chiba-ken,12402,,12_Chiba-ken,12239,1191_Oamishirasato-shi,"48,129","23,549","24,580","49,184","-1,055",-2.14501,95.80553,58.08,828.7,"19,558","19,510",48,"18,849",709,3.76147,"48,129","47,180",949
9,12_Chiba-ken,12402,2000,12_Chiba-ken,12239,1192_(Municipalities as of 2000) Oamishirasato-machi,"48,129","23,549","24,580","49,184","-1,055",-2.14501,95.80553,58.06,829.0,"19,558","19,510",48,"18,849",709,3.76147,"48,129","47,180",949
3,12_Chiba-ken,12322,2000,12_Chiba-ken,12322,1193_Shisui-machi,"20,745","10,155","10,590","20,955",-210,-1.00215,95.89235,19.01,"1,091.3","9,375","9,366",9,"8,970",405,4.51505,"20,745","20,274",471
3,12_Chiba-ken,12329,2000,12_Chiba-ken,12329,1194_Sakae-machi,"20,127","9,869","10,258","21,228","-1,101",-5.18655,96.20784,32.51,619.1,"8,276","8,268",8,"8,185",91,1.11179,"20,127","19,941",186
3,12_Chiba-ken,12342,2000,12_Chiba-ken,12342,1195_Kozaki-machi,"5,816","2,938","2,878","6,133",-317,-5.16876,102.08478,19.90,292.3,"2,289","2,283",6,"2,207",82,3.71545,"5,816","5,726",90
3,12_Chiba-ken,12347,2000,12_Chiba-ken,12347,1196_Tako-machi,"13,735","6,941","6,794","14,724",-989,-6.71692,102.16367,72.80,188.7,"5,079","5,053",26,"5,053",26,0.51455,"13,735","13,397",338
3,12_Chiba-ken,12349,2000,12_Chiba-ken,12349,1197_Tonosho-machi,"13,228","6,575","6,653","14,152",-924,-6.52911,98.82760,46.25,286.0,"4,611","4,600",11,"4,562",49,1.07409,"13,228","12,782",446
3,12_Chiba-ken,12403,2000,12_Chiba-ken,12403,1198_Kujukuri-machi,"14,639","7,203","7,436","16,510","-1,871",-11.33253,96.86659,24.46,598.5,"6,181","6,165",16,"6,411",-230,-3.58758,"14,639","14,375",264
3,12_Chiba-ken,12409,2000,12_Chiba-ken,12409,1199_Shibayama-machi,"7,033","3,474","3,559","7,431",-398,-5.35594,97.61169,43.24,162.7,"2,513","2,508",5,"2,453",60,2.44598,"7,033","6,706",327
3,12_Chiba-ken,12410,,12_Chiba-ken,12410,1200_Yokoshibahikari-machi,"22,075","10,767","11,308","23,762","-1,687",-7.09957,95.21578,67.01,329.4,"8,274","8,263",11,"8,433",-159,-1.88545,"22,075","21,585",490
9,12_Chiba-ken,12381,2000,12_Chiba-ken,12410,1201_(Municipalities as of 2000) Hikari-machi,"9,746","4,763","4,983","10,585",-839,-7.92631,95.58499,33.31,292.6,"3,548","3,542",6,"3,578",-30,-0.83846,"9,746","9,520",226
9,12_Chiba-ken,12408,2000,12_Chiba-ken,12410,1202_(Municipalities as of 2000) Yokoshiba-machi,"12,329","6,004","6,325","13,177",-848,-6.43546,94.92490,33.60,366.9,"4,726","4,721",5,"4,855",-129,-2.65705,"12,329","12,065",264
3,12_Chiba-ken,12421,2000,12_Chiba-ken,12421,1203_Ichinomiya-machi,"11,897","5,824","6,073","11,767",130,1.10478,95.89988,22.99,517.5,"4,984","4,969",15,"4,485",499,11.12598,"11,897","11,591",306
3,12_Chiba-ken,12422,2000,12_Chiba-ken,12422,1204_Mutsuzawa-machi,"6,760","3,259","3,501","7,222",-462,-6.39712,93.08769,35.59,189.9,"2,467","2,459",8,"2,434",33,1.35579,"6,760","6,493",267
3,12_Chiba-ken,12423,2000,12_Chiba-ken,12423,1205_Chosei-mura,"13,803","6,801","7,002","14,359",-556,-3.87214,97.12939,28.25,488.6,"5,613","5,595",18,"5,178",435,8.40093,"13,803","13,507",296
3,12_Chiba-ken,12424,2000,12_Chiba-ken,12424,1206_Shirako-machi,"10,305","5,115","5,190","11,149",-844,-7.57019,98.55491,27.50,374.7,"4,137","4,131",6,"4,164",-27,-0.64841,"10,305","10,236",69
3,12_Chiba-ken,12426,2000,12_Chiba-ken,12426,1207_Nagara-machi,"6,721","3,295","3,426","7,337",-616,-8.39580,96.17630,47.11,142.7,"2,517","2,512",5,"2,591",-74,-2.85604,"6,721","6,290",431
3,12_Chiba-ken,12427,2000,12_Chiba-ken,12427,1208_Chonan-machi,"7,198","3,527","3,671","8,206","-1,008",-12.28369,96.07736,65.51,109.9,"2,636","2,629",7,"2,789",-153,-5.48584,"7,198","7,009",189
3,12_Chiba-ken,12441,2000,12_Chiba-ken,12441,1209_Otaki-machi,"8,885","4,307","4,578","9,843",-958,-9.73281,94.08038,129.87,68.4,"3,401","3,380",21,"3,447",-46,-1.33449,"8,885","8,183",702
3,12_Chiba-ken,12443,2000,12_Chiba-ken,12443,1210_Onjuku-machi,"6,874","3,260","3,614","7,315",-441,-6.02871,90.20476,24.85,276.6,"3,092","3,071",21,"3,054",38,1.24427,"6,874","6,682",192
3,12_Chiba-ken,12463,2000,12_Chiba-ken,12463,1211_Kyonan-machi,"6,993","3,356","3,637","8,022","-1,029",-12.82723,92.27385,45.19,154.7,"3,034","3,025",9,"3,327",-293,-8.80673,"6,993","6,829",164
a,13_Tokyo-to,13000,2000,13_Tokyo-to,13000,1212_Tokyo-to,"14,047,594","6,898,388","7,149,206","13,515,272","532,322",3.93867,96.49167,"2,194.03","6,402.6","7,227,180","7,216,650","10,530","6,701,123","526,057",7.85028,"14,047,594","13,839,178","208,416"
1,13_Tokyo-to,13100,2000,13_Tokyo-to,13100,1213_Ku-area,"9,733,276","4,774,402","4,958,874","9,272,740","460,536",4.96656,96.27996,627.53,"15,510.5","5,215,850","5,208,438","7,412","4,801,194","414,656",8.63652,"9,733,276","9,621,631","111,645"
0,13_Tokyo-to,13101,2000,13_Tokyo-to,13101,1214_Chiyoda-ku,"66,680","33,637","33,043","58,406","8,274",14.16635,101.79766,11.66,"5,718.7","37,011","36,963",48,"33,262","3,749",11.27112,"66,680","66,032",648
0,13_Tokyo-to,13102,2000,13_Tokyo-to,13102,1215_Chuo-ku,"169,179","80,931","88,248","141,183","27,996",19.82958,91.70859,10.21,"16,569.9","92,533","92,487",46,"79,272","13,261",16.72848,"169,179","168,459",720
0,13_Tokyo-to,13103,2000,13_Tokyo-to,13103,1216_Minato-ku,"260,486","123,410","137,076","243,283","17,203",7.07119,90.03035,20.37,"12,787.7","146,160","146,084",76,"130,562","15,598",11.94681,"260,486","258,890","1,596"
0,13_Tokyo-to,13104,2000,13_Tokyo-to,13104,1217_Shinjuku-ku,"349,385","174,822","174,563","333,560","15,825",4.74427,100.14837,18.22,"19,175.9","222,800","222,461",339,"204,989","17,811",8.68876,"349,385","345,590","3,795"
0,13_Tokyo-to,13105,2000,13_Tokyo-to,13105,1218_Bunkyo-ku,"240,069","115,483","124,586","219,724","20,345",9.25934,92.69340,11.29,"21,263.9","133,661","133,564",97,"120,858","12,803",10.59342,"240,069","236,910","3,159"
0,13_Tokyo-to,13106,2000,13_Tokyo-to,13106,1219_Taito-ku,"211,444","108,586","102,858","198,073","13,371",6.75054,105.56884,10.11,"20,914.3","124,345","121,557","2,788","112,117","12,228",10.90646,"211,444","206,901","4,543"
0,13_Tokyo-to,13107,2000,13_Tokyo-to,13107,1220_Sumida-ku,"272,085","134,787","137,298","256,274","15,811",6.16957,98.17113,13.77,"19,759.3","145,768","145,609",159,"130,862","14,906",11.39063,"272,085","269,371","2,714"
0,13_Tokyo-to,13108,2000,13_Tokyo-to,13108,1221_Koto-ku,"524,310","258,015","266,295","498,109","26,201",5.26009,96.89067,42.99,"12,196.1","264,278","264,111",167,"243,708","20,570",8.44043,"524,310","520,162","4,148"
0,13_Tokyo-to,13109,2000,13_Tokyo-to,13109,1222_Shinagawa-ku,"422,488","208,688","213,800","386,855","35,633",9.21094,97.60898,22.84,"18,497.7","237,641","237,447",194,"212,374","25,267",11.89741,"422,488","419,684","2,804"
0,13_Tokyo-to,13110,2000,13_Tokyo-to,13110,1223_Meguro-ku,"288,088","135,820","152,268","277,622","10,466",3.76987,89.19799,14.67,"19,637.9","155,715","155,610",105,"146,162","9,553",6.53590,"288,088","285,683","2,405"
0,13_Tokyo-to,13111,2000,13_Tokyo-to,13111,1224_Ota-ku,"748,081","372,464","375,617","717,082","30,999",4.32294,99.16058,61.86,"12,093.1","400,164","399,628",536,"371,149","29,015",7.81762,"748,081","740,604","7,477"
0,13_Tokyo-to,13112,2000,13_Tokyo-to,13112,1225_Setagaya-ku,"943,664","445,592","498,072","903,346","40,318",4.46318,89.46337,58.05,"16,256.1","492,065","491,717",348,"463,632","28,433",6.13267,"943,664","931,771","11,893"
0,13_Tokyo-to,13113,2000,13_Tokyo-to,13113,1226_Shibuya-ku,"243,883","117,907","125,976","224,533","19,350",8.61789,93.59481,15.11,"16,140.5","149,967","149,856",111,"135,749","14,218",10.47374,"243,883","241,399","2,484"
0,13_Tokyo-to,13114,2000,13_Tokyo-to,13114,1227_Nakano-ku,"344,880","172,525","172,355","328,215","16,665",5.07746,100.09863,15.59,"22,121.9","208,093","207,944",149,"196,132","11,961",6.09844,"344,880","341,989","2,891"
0,13_Tokyo-to,13115,2000,13_Tokyo-to,13115,1228_Suginami-ku,"591,108","284,301","306,807","563,997","27,111",4.80694,92.66444,34.06,"17,354.9","336,339","336,103",236,"312,001","24,338",7.80062,"591,108","584,913","6,195"
0,13_Tokyo-to,13116,2000,13_Tokyo-to,13116,1229_Toshima-ku,"301,599","151,020","150,579","291,167","10,432",3.58282,100.29287,13.01,"23,182.1","183,819","183,687",132,"176,376","7,443",4.21996,"301,599","298,705","2,894"
0,13_Tokyo-to,13117,2000,13_Tokyo-to,13117,1230_Kita-ku,"355,213","176,289","178,924","341,076","14,137",4.14482,98.52731,20.61,"17,235.0","189,700","189,579",121,"178,379","11,321",6.34660,"355,213","351,013","4,200"
0,13_Tokyo-to,13118,2000,13_Tokyo-to,13118,1231_Arakawa-ku,"217,475","107,683","109,792","212,264","5,211",2.45496,98.07910,10.16,"21,405.0","112,009","111,799",210,"103,101","8,908",8.64007,"217,475","215,188","2,287"
0,13_Tokyo-to,13119,2000,13_Tokyo-to,13119,1232_Itabashi-ku,"584,483","286,179","298,304","561,916","22,567",4.01608,95.93535,32.22,"18,140.4","314,446","314,133",313,"291,408","23,038",7.90575,"584,483","573,898","10,585"
0,13_Tokyo-to,13120,2000,13_Tokyo-to,13120,1233_Nerima-ku,"752,608","361,770","390,838","721,722","30,886",4.27949,92.56265,48.08,"15,653.2","374,842","374,485",357,"337,987","36,855",10.90427,"752,608","742,230","10,378"
0,13_Tokyo-to,13121,2000,13_Tokyo-to,13121,1234_Adachi-ku,"695,043","347,408","347,635","670,122","24,921",3.71888,99.93470,53.25,"13,052.5","345,346","345,010",336,"310,662","34,684",11.16455,"695,043","685,831","9,212"
0,13_Tokyo-to,13122,2000,13_Tokyo-to,13122,1235_Katsushika-ku,"453,093","225,758","227,335","442,913","10,180",2.29842,99.30631,34.80,"13,019.9","215,948","215,709",239,"201,380","14,568",7.23408,"453,093","445,788","7,305"
0,13_Tokyo-to,13123,2000,13_Tokyo-to,13123,1236_Edogawa-ku,"697,932","351,327","346,605","681,298","16,634",2.44152,101.36236,49.90,"13,986.6","333,200","332,895",305,"309,072","24,128",7.80660,"697,932","690,620","7,312"
2,13_Tokyo-to,13201,2000,13_Tokyo-to,13201,1237_Hachioji-shi,"579,355","291,307","288,048","577,513","1,842",0.31895,101.13141,186.38,"3,108.5","267,020","266,549",471,"253,356","13,664",5.39320,"579,355","562,131","17,224"
2,13_Tokyo-to,13202,2000,13_Tokyo-to,13202,1238_Tachikawa-shi,"183,581","91,191","92,390","176,295","7,286",4.13285,98.70224,24.36,"7,536.2","89,727","89,599",128,"83,285","6,442",7.73489,"183,581","180,320","3,261"
2,13_Tokyo-to,13203,2000,13_Tokyo-to,13203,1239_Musashino-shi,"150,149","71,868","78,281","144,730","5,419",3.74421,91.80772,10.98,"13,674.8","78,054","77,966",88,"74,022","4,032",5.44703,"150,149","148,203","1,946"
2,13_Tokyo-to,13204,2000,13_Tokyo-to,13204,1240_Mitaka-shi,"195,391","94,489","100,902","186,936","8,455",4.52294,93.64433,16.42,"11,899.6","96,389","96,116",273,"90,226","6,163",6.83063,"195,391","190,844","4,547"
2,13_Tokyo-to,13205,2000,13_Tokyo-to,13205,1241_Ome-shi,"133,535","66,654","66,881","137,381","-3,846",-2.79951,99.66059,103.31,"1,292.6","56,523","56,354",169,"54,371","2,152",3.95799,"133,535","126,718","6,817"
2,13_Tokyo-to,13206,2000,13_Tokyo-to,13206,1242_Fuchu-shi,"262,790","131,468","131,322","260,274","2,516",0.96667,100.11118,29.43,"8,929.3","123,931","123,766",165,"119,569","4,362",3.64810,"262,790","256,932","5,858"
2,13_Tokyo-to,13207,2000,13_Tokyo-to,13207,1243_Akishima-shi,"113,949","56,639","57,310","111,539","2,410",2.16068,98.82917,17.34,"6,571.5","52,163","52,111",52,"48,258","3,905",8.09192,"113,949","111,665","2,284"
2,13_Tokyo-to,13208,2000,13_Tokyo-to,13208,1244_Chofu-shi,"242,614","117,044","125,570","229,061","13,553",5.91676,93.21016,21.58,"11,242.5","120,945","120,790",155,"110,581","10,364",9.37232,"242,614","238,610","4,004"
2,13_Tokyo-to,13209,2000,13_Tokyo-to,13209,1245_Machida-shi,"431,079","210,533","220,546","432,349","-1,270",-0.29374,95.45990,71.55,"6,024.9","192,015","191,703",312,"186,712","5,303",2.84020,"431,079","421,444","9,635"
2,13_Tokyo-to,13210,2000,13_Tokyo-to,13210,1246_Koganei-shi,"126,074","61,759","64,315","121,396","4,678",3.85350,96.02581,11.30,"11,157.0","63,182","63,140",42,"59,796","3,386",5.66259,"126,074","124,189","1,885"
2,13_Tokyo-to,13211,2000,13_Tokyo-to,13211,1247_Kodaira-shi,"198,739","97,507","101,232","190,005","8,734",4.59672,96.32033,20.51,"9,689.9","91,287","91,125",162,"82,888","8,399",10.13295,"198,739","193,499","5,240"
2,13_Tokyo-to,13212,2000,13_Tokyo-to,13212,1248_Hino-shi,"190,435","94,918","95,517","186,283","4,152",2.22887,99.37289,27.55,"6,912.3","90,404","90,257",147,"84,928","5,476",6.44781,"190,435","187,443","2,992"
2,13_Tokyo-to,13213,2000,13_Tokyo-to,13213,1249_Higashimurayama-shi,"151,815","73,827","77,988","149,956","1,859",1.23970,94.66456,17.14,"8,857.4","68,478","68,340",138,"64,604","3,874",5.99653,"151,815","148,120","3,695"
2,13_Tokyo-to,13214,2000,13_Tokyo-to,13214,1250_Kokubunji-shi,"129,242","62,985","66,257","122,742","6,500",5.29566,95.06165,11.46,"11,277.7","63,962","63,916",46,"59,130","4,832",8.17182,"129,242","127,923","1,319"
2,13_Tokyo-to,13215,2000,13_Tokyo-to,13215,1251_Kunitachi-shi,"77,130","37,515","39,615","73,655","3,475",4.71794,94.69898,8.15,"9,463.8","38,275","38,227",48,"34,062","4,213",12.36862,"77,130","75,791","1,339"
2,13_Tokyo-to,13218,2000,13_Tokyo-to,13218,1252_Fussa-shi,"56,414","28,023","28,391","58,395","-1,981",-3.39241,98.70381,10.16,"5,552.6","28,148","28,117",31,"27,260",888,3.25752,"56,414","55,312","1,102"
2,13_Tokyo-to,13219,2000,13_Tokyo-to,13219,1253_Komae-shi,"84,772","41,043","43,729","80,249","4,523",5.63621,93.85762,6.39,"13,266.4","42,616","42,578",38,"39,458","3,158",8.00345,"84,772","83,588","1,184"
2,13_Tokyo-to,13220,2000,13_Tokyo-to,13220,1254_Higashiyamato-shi,"83,901","41,034","42,867","85,157","-1,256",-1.47492,95.72398,13.42,"6,251.9","36,336","36,291",45,"35,555",781,2.19660,"83,901","82,769","1,132"
2,13_Tokyo-to,13221,2000,13_Tokyo-to,13221,1255_Kiyose-shi,"76,208","36,550","39,658","74,864","1,344",1.79526,92.16299,10.23,"7,449.5","35,003","34,918",85,"32,369","2,634",8.13742,"76,208","73,594","2,614"
2,13_Tokyo-to,13222,2000,13_Tokyo-to,13222,1256_Higashikurume-shi,"115,271","55,647","59,624","116,632","-1,361",-1.16692,93.32987,12.88,"8,949.6","51,217","51,146",71,"49,902","1,315",2.63516,"115,271","113,569","1,702"
2,13_Tokyo-to,13223,2000,13_Tokyo-to,13223,1257_Musashimurayama-shi,"70,829","35,260","35,569","71,229",-400,-0.56157,99.13127,15.32,"4,623.3","29,978","29,956",22,"28,300","1,678",5.92933,"70,829","69,737","1,092"
2,13_Tokyo-to,13224,2000,13_Tokyo-to,13224,1258_Tama-shi,"146,951","71,611","75,340","146,631",320,0.21823,95.05044,21.01,"6,994.3","68,415","68,354",61,"65,461","2,954",4.51261,"146,951","144,318","2,633"
2,13_Tokyo-to,13225,2000,13_Tokyo-to,13225,1259_Inagi-shi,"93,151","46,879","46,272","87,636","5,515",6.29308,101.31181,17.97,"5,183.7","39,906","39,880",26,"36,533","3,373",9.23275,"93,151","91,323","1,828"
2,13_Tokyo-to,13227,2000,13_Tokyo-to,13227,1260_Hamura-shi,"54,326","27,471","26,855","55,833","-1,507",-2.69912,102.29380,9.90,"5,487.5","23,809","23,789",20,"23,451",358,1.52659,"54,326","53,175","1,151"
2,13_Tokyo-to,13228,2000,13_Tokyo-to,13228,1261_Akiruno-shi,"79,292","39,230","40,062","80,954","-1,662",-2.05302,97.92322,73.47,"1,079.2","31,887","31,840",47,"30,817","1,070",3.47211,"79,292","77,053","2,239"
2,13_Tokyo-to,13229,,13_Tokyo-to,13229,1262_Nishitokyo-shi,"207,388","100,992","106,396","200,012","7,376",3.68778,94.92086,15.75,"13,167.5","97,018","96,896",122,"89,734","7,284",8.11732,"207,388","204,098","3,290"
9,13_Tokyo-to,13216,2000,13_Tokyo-to,13229,1263_(Municipalities as of 2000) Tanashi-shi,"91,729","44,805","46,924","90,008","1,721",1.91205,95.48419,6.80,"13,489.6","42,529","42,496",33,"40,010","2,519",6.29593,"91,729","90,404","1,325"
9,13_Tokyo-to,13217,2000,13_Tokyo-to,13229,1264_(Municipalities as of 2000) Hoya-shi,"115,659","56,187","59,472","110,004","5,655",5.14072,94.47639,9.05,"12,780.0","54,489","54,400",89,"49,724","4,765",9.58290,"115,659","113,694","1,965"
3,13_Tokyo-to,13303,2000,13_Tokyo-to,13303,1265_Mizuho-machi,"31,765","15,992","15,773","33,445","-1,680",-5.02317,101.38845,16.85,"1,885.2","13,017","13,000",17,"13,192",-175,-1.32656,"31,765","30,915",850
3,13_Tokyo-to,13305,2000,13_Tokyo-to,13305,1266_Hinode-machi,"16,958","8,267","8,691","17,446",-488,-2.79720,95.12139,28.07,604.1,"6,012","5,973",39,"5,800",212,3.65517,"16,958","15,026","1,932"
3,13_Tokyo-to,13307,2000,13_Tokyo-to,13307,1267_Hinohara-mura,"2,003",983,"1,020","2,209",-206,-9.32549,96.37255,105.41,19.0,835,830,5,839,-4,-0.47676,"2,003","1,779",224
3,13_Tokyo-to,13308,2000,13_Tokyo-to,13308,1268_Okutama-machi,"4,750","2,389","2,361","5,234",-484,-9.24723,101.18594,225.53,21.1,"1,984","1,975",9,"2,045",-61,-2.98289,"4,750","4,244",506
3,13_Tokyo-to,13361,2000,13_Tokyo-to,13361,1269_Oshima-machi,"7,102","3,667","3,435","7,884",-782,-9.91882,106.75400,90.76,78.3,"3,712","3,657",55,"3,947",-235,-5.95389,"7,102","6,539",563
3,13_Tokyo-to,13362,2000,13_Tokyo-to,13362,1270_Toshima-mura,327,197,130,337,-10,-2.96736,151.53846,4.12,79.4,193,193,-,194,-1,-0.51546,327,327,-
3,13_Tokyo-to,13363,2000,13_Tokyo-to,13363,1271_Niijima-mura,"2,441","1,204","1,237","2,749",-308,-11.20407,97.33226,27.54,88.6,"1,163","1,160",3,"1,261",-98,-7.77161,"2,441","2,401",40
3,13_Tokyo-to,13364,2000,13_Tokyo-to,13364,1272_Kouzushima-mura,"1,855",952,903,"1,891",-36,-1.90375,105.42636,18.58,99.8,808,804,4,791,17,2.14918,"1,855","1,793",62
3,13_Tokyo-to,13381,2000,13_Tokyo-to,13381,1273_Miyake-mura,"2,273","1,269","1,004","2,482",-209,-8.42063,126.39442,55.26,41.1,"1,377","1,376",1,"1,483",-106,-7.14767,"2,273","2,225",48
